Activity ID,Activity Date,Activity Name,Activity Type,Elapsed Time,Distance,Commute,Moving Time,Max Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade
493704465,"Oct 23, 2015, 10:00:00 AM",Morning Run,Run,2456,7.09,false,2420,6.80000019073486,31.2166996002197,,18.1000003814697,49.5,9.89999961853027,-0.022554900497198
493704466,"Nov 1, 2015, 1:43:45 PM",Morning Run,Run,3911,11.49,false,3791,8,39.9667015075684,,3.5,41.5999984741211,17.2999992370605,-0.077418901026249
493704574,"Nov 7, 2015, 4:06:42 PM",Lunch Run,Run,3886,9.34,false,3501,5.40000009536743,0,,0,7.09999990463257,4.40000009536743,0.002140820026398
493704575,"Nov 5, 2015, 10:48:33 AM",Morning Run,Run,2637,7.08,false,2557,5,31.0499992370605,,18,49.4000015258789,9.30000019073486,-0.01975560002029
493704579,"Nov 15, 2015, 2:38:56 PM",Morning Run,Run,3118,9.01,false,3086,6.40000009536743,44.6699981689453,,18.1000003814697,49.5,10.8999996185303,-0.015538499690592
493704581,"Nov 26, 2015, 1:14:19 PM",Morning Run,Run,2209,6.61,false,2185,5.59999990463257,31.1833000183105,,18,49.4000015258789,9.60000038146973,0.031740300357342
493704582,"Nov 27, 2015, 4:58:59 PM",Lunch Run,Run,2514,7.14,false,2438,6.09999990463257,30.0666999816895,,18,49.5,10.5,-0.011194399558008
493704584,"Dec 6, 2015, 4:03:41 PM",Lunch Run,Run,3090,8.97,false,3090,4.90000009536743,44.0332984924316,,18,49.2999992370605,11.3999996185303,-0.016711600124836
493704591,"Dec 13, 2015, 4:53:24 PM",Lunch Run,Run,2400,7.14,false,2297,7.5,31.3332996368408,,18,49.5999984741211,15.1999998092651,-0.013991500250995
493704609,"Dec 31, 2015, 3:14:56 PM",Morning Run,Run,1964,5.33,false,1853,7.40000009536743,22.9395008087158,,25.3999996185303,48.5999984741211,19.6000003814697,-0.041269600391388
493706718,"Jan 16, 2016, 9:58:13 AM",Morning Run,Run,1861,5.29,false,1845,5.30000019073486,23.3528995513916,,25.3999996185303,49,19.3999996185303,-0.026465499773622
493706721,"Jan 22, 2016, 6:20:01 AM",Morning Run,Run,1969,5.39,false,1929,5.5,23.4214992523193,,25.2999992370605,49,17.7000007629395,-0.029686300083995
493706733,"Jan 18, 2016, 11:17:48 AM",Morning Run,Run,2441,6.73,false,2400,4,30.8631992340088,,18.2000007629395,49.0999984741211,16.7000007629395,-0.00594379985705
493706737,"Feb 8, 2016, 6:08:49 AM",Morning Run,Run,2001,5.33,false,1995,3.79999995231628,23.7120990753174,,25.2999992370605,49.2999992370605,19.1000003814697,-0.001875860034488
493706742,"Feb 4, 2016, 6:06:49 AM",Morning Run,Run,2615,6.85,false,2567,4.30000019073486,29.9599990844727,,18.1000003814697,49.7999992370606,14.5,-0.021894000470638
493706744,"Jan 30, 2016, 11:03:01 AM",Morning Run,Run,2473,6.79,false,2361,4.19999980926514,30.9260997772217,,18.1000003814697,49.2000007629395,14.1999998092651,-0.026509199291468
493706750,"Feb 1, 2016, 6:07:07 AM",Morning Run,Run,2589,6.8,false,2562,3.90000009536743,30.8106994628906,,18.2000007629395,49.0999984741211,15,-0.019097099080682
493706752,"Feb 6, 2016, 8:33:12 AM",Morning Run,Run,3082,8.52,false,3053,3.59999990463257,45.4748992919922,,18.1000003814697,49.5999984741211,18.7999992370605,-0.005868750158697
493706755,"Feb 11, 2016, 6:08:11 AM",Morning Run,Run,2046,5.35,false,1992,3.59999990463257,23.6226997375488,,25.2999992370605,49.2000007629395,19,-0.00934386998415
493706764,"Feb 13, 2016, 8:51:07 AM",Morning Run,Run,2512,6.79,false,2493,3.90000009536743,30.9608993530273,,18.2000007629395,49.2000007629395,17.7999992370605,-0.025026500225067
494857908,"Feb 16, 2016, 3:12:46 PM",Morning Run,Run,3072,8.62,false,3047,5.19999980926514,0,,290.100006103516,296.5,23.8999996185303,-0.009275689721107
496344498,"Feb 18, 2016, 2:33:25 PM",Jones Bridge Park,Run,3386,9.67,false,3332,5.40000009536743,76.5843963623047,,270.299987792969,302.200012207031,35.5999984741211,-0.009307329542935
496494943,"Feb 18, 2016, 5:43:18 PM",Beltline to Atlanta Botanical Garden ,Walk,4852,6.14,false,4488,4.69999980926514,36.9171981811523,,255.800003051758,303.899993896484,49.0999984741211,-0.501358985900879
497832929,"Feb 20, 2016, 2:09:44 PM",Morning Run,Run,2312,6.83,false,2240,4.30000019073486,30.7724990844727,,18.2000007629395,49,13.3999996185303,-0.024889800697565
499265659,"Feb 21, 2016, 10:13:15 PM",Afternoon Ride,Ride,1413,4.6,false,1270,6.90000009536743,39.8699989318848,,0.100000001490116,40.7000007629395,6.90000009536743,0.865885019302368
499547551,"Feb 22, 2016, 11:07:26 AM",Sunrise Run,Run,2373,6.83,false,2373,3.59999990463257,29.8999996185303,,18.2000007629395,49.5999984741211,14,-0.027809500694275
500306477,"Feb 23, 2016, 11:07:32 AM",Sunrise Run,Run,2429,6.84,false,2406,3.79999995231628,30.7905006408691,,18.2000007629395,49.0999984741211,17.3999996185303,-0.030691899359226
501885832,"Feb 25, 2016, 11:07:28 AM",Misty morning,Run,2502,6.79,false,2499,3.70000004768372,30.8421001434326,,18.2000007629395,49.0999984741211,13.3000001907349,-0.035335201770067
503770874,"Feb 27, 2016, 6:10:24 PM",Too many people on the Brooklyn Bridge ,Run,3828,10.48,false,3597,10.3000001907349,78.0490036010742,,0.800000011920929,50.2000007629395,42.0999984741211,0.046747200191021
505292567,"Feb 29, 2016, 11:08:42 AM",Another beautiful sunrise. The geese are flying north ,Run,2543,6.82,false,2513,3.59999990463257,30.6523990631104,,18.2000007629395,48.9000015258789,14.5,-0.027855599299073
506791414,"Mar 2, 2016, 11:07:24 AM",Not too rainy after all,Run,2017,5.3,false,2012,5,22.9470996856689,,25.1000003814697,49.5,13.1999998092651,-0.028303999453783
508284645,"Mar 4, 2016, 11:07:45 AM",You call that snow?,Run,2012,5.34,false,2012,5.59999990463257,23.6753005981445,,25.2000007629395,49.0999984741211,19,-0.0392788015306
509522688,"Mar 5, 2016, 9:54:17 PM",Afternoon Run,Run,2260,6.8,false,2203,4,30.8222007751465,,18.1000003814697,49,14.6999998092651,-0.039701800793409
510818394,"Mar 7, 2016, 11:07:07 AM","Quiet sunrise, birds singing ",Run,2337,6.77,false,2292,4,31.7528991699219,,18.1000003814697,52,14.8999996185303,0.010330599732697
